"taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory"								
"8404178	Vasula deltoidea (Lamarck"	" 1822)	8404178	Vasula deltoidea (Lamarck"	" 1822)	5	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Neogastropoda	982	Muricidae	2304120	Vasula	4618482	Vasula deltoidea	8404178	NE"						
"1994767	Pycnoscelus surinamensis (Linnaeus"	" 1758)	1994767	Pycnoscelus surinamensis (Linnaeus"	" 1758)	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Blattodea	800	Blaberidae	5521	Pycnoscelus	1994758	Pycnoscelus surinamensis	1994767	NE"						
"2299074	Cerithium atratum (Born"	" 1778)	2299074	Cerithium atratum (Born"	" 1778)	5	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225			Cerithiidae	6760	Cerithium	8179898	Cerithium atratum	2299074	NE"						
"2942654	Crotalaria verrucosa L.	2942654	Crotalaria verrucosa L.	6	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Crotalaria	2941719	Crotalaria verrucosa	2942654	NE"								
"4364031	Morula nodulosa (C.B.Adams"	" 1845)	10332897	Claremontiella nodulosa (C.B.Adams"	" 1845)	1	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225	Neogastropoda	982	Muricidae	2304120	Claremontiella	9955388	Claremontiella nodulosa	10332897	NE"						
"5203835	Limia caymanensis Rivas & Fink"	" 1970	5203835	Limia caymanensis Rivas & Fink"	" 1970	34	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Cyprinodontiformes	547	Poeciliidae	7659	Limia	2349550	Limia caymanensis	5203835	NT"						
"5308259	Oncidium caymanense Moir	5308211	Tolumnia variegata (Sw.) Braem	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Tolumnia	2794712	Tolumnia variegata	5308211	NE"								
"6456038	Prionalpheus gomezi Martínez-Iglesias & Carvacho"	" 1991	6456038	Prionalpheus gomezi Martínez-Iglesias & Carvacho"	" 1991	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Decapoda	637	Alpheidae	4472	Prionalpheus	4648783	Prionalpheus gomezi	6456038	NE"						
"8314528	Bunodosoma granulifera (Le Sueur"	" 1817)	2256512	Bunodosoma granuliferum (Le Sueur"	" 1817)	1	SPECIES	SYNONYM	Animalia	1	Cnidaria	43	Anthozoa	206	Actiniaria	705	Actiniidae	5688	Bunodosoma	2256486	Bunodosoma granuliferum	2256512	NE"						
"9488759	Anelaphus cinereus (Olivier"	" 1795)	9488759	Anelaphus cinereus (Olivier"	" 1795)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Cerambycidae	5602	Anelaphus	1099810	Anelaphus cinereus	9488759	NE"						
"9583628	Mitrela (Risso"	" 1826)	2305527	Mitrella Risso"	" 1826	3	GENUS	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225	Neogastropoda	982	Columbellidae	2693	Mitrella	2305527			"						
"9871223	BOLD:ACN1576	9871223	BOLD:ACN1576	11	UNRANKED	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204									"								
"10278769	BOLD:AAA8649	10278769	BOLD:AAA8649	1	UNRANKED	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Perciformes	587	Gobiidae	4274	Coryphopterus	2377815	Coryphopterus thrix	2377830	"								
"1335661	Megachile jerryrozeni Genaro"	" 2003	1335661	Megachile jerryrozeni Genaro"	" 2003	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Megachilidae	7911	Megachile	1335011	Megachile jerryrozeni	1335661	NE"						
"1927303	Cyclargus erembis Nabokov"	" 1948	1927303	Cyclargus erembis Nabokov"	" 1948	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Lycaenidae	5473	Cyclargus	1927299	Cyclargus erembis	1927303	NE"						
"2079170	Loxa viridis (Palisot"	" 1811)	2079170	Loxa viridis (Palisot"	" 1811)	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hemiptera	809	Pentatomidae	9650	Loxa	2079169	Loxa viridis	2079170	NE"						
"2221839	Dromidia antillensis Stimpson"	" 1858	5973105	Moreiradromia antillensis (Stimpson"	" 1859)	2	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Malacostraca	229	Decapoda	637	Dromiidae	8038	Moreiradromia	3254297	Moreiradromia antillensis	5973105	NE"						
"2258964	Cladocora debilis Milne Edwards & Haime"	" 1849	2258964	Cladocora debilis Milne Edwards & Haime"	" 1849	1	SPECIES	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Caryophylliidae	11260974	Cladocora	2258961	Cladocora debilis	2258964	NE"						
"2403816	Gymnothorax miliaris (Kaup"	" 1856)	2403816	Gymnothorax miliaris (Kaup"	" 1856)	6	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Anguilliformes	495	Muraenidae	2953	Gymnothorax	2403463	Gymnothorax miliaris	2403816	LC"						
"2405913	Lampadena luminosa (Garman"	" 1899)	2405913	Lampadena luminosa (Garman"	" 1899)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Myctophiformes	1306	Myctophidae	4217	Lampadena	2405905	Lampadena luminosa	2405913	LC"						
"2407141	Melichthys niger (Bloch"	" 1786)	2407141	Melichthys niger (Bloch"	" 1786)	33	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Tetraodontiformes	772	Balistidae	5899	Melichthys	2407140	Melichthys niger	2407141	LC"						
"2489135	Progne dominicensis (Gmelin"	" 1789)	2489135	Progne dominicensis (Gmelin"	" 1789)	42	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Hirundinidae	5248	Progne	2489127	Progne dominicensis	2489135	LC"						
"2657379	Haloplegma duperreyi Mont.	2657379	Haloplegma duperreyi Mont.	1	SPECIES	ACCEPTED	Plantae	6	Rhodophyta	106	Florideophyceae	342	Ceramiales	665	Wrangeliaceae	5823953	Haloplegma	2657378	Haloplegma duperreyi	2657379	NE"								
"2702812	Echinochloa colona (L.) Link	2702812	Echinochloa colona (L.) Link	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Echinochloa	2702794	Echinochloa colona	2702812	LC"								
"2951909	Teramnus uncinatus (L.) Sw.	2951909	Teramnus uncinatus (L.) Sw.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Teramnus	2951908	Teramnus uncinatus	2951909	NE"								
"3201885	Rhabdosphaera longistylis	3201885	Rhabdosphaera longistylis	15	SPECIES	ACCEPTED	Chromista	4	Haptophyta	70	Prymnesiophyceae	258	Coccolithales	8221594	Coccolithaceae	7120	Rhabdosphaera	10653193	Rhabdosphaera longistylis	3201885	NE"								
"4332732	Diaptomus texensis Wilson M.S."	" 1953	2114548	Mastigodiaptomus texensis Wilson M.S."	" 1953	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Hexanauplia	9421786	Calanoida	679	Diaptomidae	9038	Mastigodiaptomus	2114547	Mastigodiaptomus texensis	2114548	NE"						
"4939163	Passiflora cupraea L.	4939163	Passiflora cupraea L.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Passifloraceae	2378	Passiflora	2874172	Passiflora cupraea	4939163	NE"								
"5230862	Passerina caerulea (Linnaeus"	" 1758)	5230862	Passerina caerulea (Linnaeus"	" 1758)	104	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Cardinalidae	9285	Passerina	2490326	Passerina caerulea	5230862	LC"						
"6180736	Siphonophorae	6180736	Siphonophorae	1	ORDER	ACCEPTED	Animalia	1	Cnidaria	43	Hydrozoa	205	Siphonophorae	6180736							"								
"1004776	Millepora Linnaeus"	" 1758	1004776	Millepora Linnaeus"	" 1758	262	GENUS	ACCEPTED	Animalia	1	Cnidaria	43	Hydrozoa	205	Anthoathecata	838	Milleporidae	7000	Millepora	1004776			NE"						
"2273608	Echinaster sentus (Say"	" 1825)	2273608	Echinaster sentus (Say"	" 1825)	1	SPECIES	ACCEPTED	Animalia	1	Echinodermata	50	Asteroidea	214	Spinulosida	1463	Echinasteridae	5541	Echinaster	8393241	Echinaster sentus	2273608	NE"						
"2307342	Lamellibrachia Webb"	" 1969	2307342	Lamellibrachia Webb"	" 1969	3	GENUS	ACCEPTED	Animalia	1	Annelida	42	Polychaeta	256	Sabellida	1080	Siboglinidae	5854277	Lamellibrachia	2307342			"						
"2350558	Gambusia caymanensis Regan"	" 1913	2350553	Gambusia puncticulata Poey"	" 1854	7	SPECIES	SYNONYM	Animalia	1	Chordata	44	Actinopterygii	204	Cyprinodontiformes	547	Poeciliidae	7659	Gambusia	2349552	Gambusia puncticulata	2350553	LC"						
"2389644	Labrisomus haitiensis Beebe & Tee-Van"	" 1928	8132988	Gobioclinus haitiensis (Beebe & Tee-Van"	" 1928)	4	SPECIES	SYNONYM	Animalia	1	Chordata	44	Actinopterygii	204	Perciformes	587	Labrisomidae	4280	Gobioclinus	4576287	Gobioclinus haitiensis	8132988	LC"						
"2466939	Anolis carolinensis Voigt"	" 1832	2466939	Anolis carolinensis Voigt"	" 1832	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Reptilia	358	Squamata	715	Dactyloidae	8345926	Anolis	8782549	Anolis carolinensis	2466939	LC"						
"3039164	Cissus repens Lam.	3039164	Cissus repens Lam.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Vitales	7222050	Vitaceae	6672	Cissus	3039160	Cissus repens	3039164	NE"								
"4304885	Pyrgodomus Crosse & P.Fischer"	" 1894	4304885	Pyrgodomus Crosse & P.Fischer"	" 1894	27	GENUS	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Cycloneritida	9680972	Helicinidae	7054	Pyrgodomus	4304885			"						
"5184522	Gardineria minor Wells"	" 1973	5184522	Gardineria minor Wells"	" 1973	3	SPECIES	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Gardineriidae	8197	Gardineria	2259430	Gardineria minor	5184522	NE"						
"5184828	Oculina diffusa Lamarck"	" 1816	5184828	Oculina diffusa Lamarck"	" 1816	1	SPECIES	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Oculinidae	9255	Oculina	2260549	Oculina diffusa	5184828	LC"						
"5213455	Stephanolepis hispidus (Linnaeus"	" 1766)	5213455	Stephanolepis hispidus (Linnaeus"	" 1766)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Tetraodontiformes	772	Monacanthidae	5896	Stephanolepis	2406762	Stephanolepis hispidus	5213455	LC"						
"5423540	Dictyota dentata J.V.Lamour.	5423538	Dictyota mertensii (Mart.) Kütz.	1	SPECIES	SYNONYM	Chromista	4	Ochrophyta	98	Phaeophyceae	7073593	Dictyotales	1180	Dictyotaceae	7725	Dictyota	3200250	Dictyota mertensii	5423538	NE"								
"6496758	Inella slapcinskyi Rolán & Fernández-Garcés"	" 2008	6496758	Inella slapcinskyi Rolán & Fernández-Garcés"	" 2008	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225			Triphoridae	2660	Inella	3244449	Inella slapcinskyi	6496758	NE"						
"10933700	Ervilia concentrica Gould"	" 1862	10445024	Ervilia nitens (Montagu"	" 1808)	2	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Bivalvia	137	Cardiida	9529005	Semelidae	6845	Ervilia	3247514	Ervilia nitens	10445024	NE"						
"2693	Columbellidae	2693	Columbellidae	1	FAMILY	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Neogastropoda	982	Columbellidae	2693					"								
"6774	Melongenidae	6774	Melongenidae	2	FAMILY	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Neogastropoda	982	Melongenidae	6774					"								
"2020320	Hebrus Curtis"	" 1831	2020320	Hebrus Curtis"	" 1831	8	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hemiptera	809	Hebridae	4312	Hebrus	2020320			"						
"2293758	Leidyula H.B.Baker"	" 1925	2293758	Leidyula H.B.Baker"	" 1925	2	GENUS	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Systellommatophora	1455	Veronicellidae	6526	Leidyula	2293758			"						
"2303925	Persicula Schumacher"	" 1817	2303925	Persicula Schumacher"	" 1817	2	GENUS	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Neogastropoda	982	Cystiscidae	2691	Persicula	2303925			"						
"2333511	Balistes Linnaeus"	" 1758	2333511	Balistes Linnaeus"	" 1758	1	GENUS	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Tetraodontiformes	772	Balistidae	5899	Balistes	2333511			NE"						
"2389551	Starksia y-lineata Gilbert"	" 1965	2389551	Starksia y-lineata Gilbert"	" 1965	15	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Perciformes	587	Labrisomidae	4280	Starksia	2389527	Starksia y-lineata	2389551	DD"						
"2695588	Tillandsia recurvata (L.) L.	2695588	Tillandsia recurvata (L.) L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Bromeliaceae	3740	Tillandsia	8279994	Tillandsia recurvata	2695588	NE"								
"3170224	Sarcostemma clausum (Jacq.) Roem. & Schult.	3170223	Funastrum clausum (Jacq.) Schltr.	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Apocynaceae	6701	Funastrum	3170214	Funastrum clausum	3170223	NE"								
"3171842	Capraria biflora L.	3171842	Capraria biflora L.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Scrophulariaceae	2390	Capraria	9471561	Capraria biflora	3171842	NE"								
"4408100	Europs Wollaston"	" 1854	4408100	Europs Wollaston"	" 1854	5	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Monotomidae	4745	Europs	4408100			"						
"5213848	Bothus lunatus (Linnaeus"	" 1758)	5213848	Bothus lunatus (Linnaeus"	" 1758)	27	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Pleuronectiformes	588	Bothidae	8608	Bothus	2408619	Bothus lunatus	5213848	LC"						
"6172956	Dendroica discolor discolor	7341790	Setophaga discolor discolor	12	SUBSPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Parulidae	5263	Setophaga	2489984	Setophaga discolor	7341789	"								
"9415331	Anachis lunata (Say"	" 1826)	2305739	Astyris lunata (Say"	" 1826)	2	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225	Neogastropoda	982	Columbellidae	2693	Astyris	2305727	Astyris lunata	2305739	NE"						
"1429338	Erythemis vesiculosa Fabricius"	" 1775	1429338	Erythemis vesiculosa Fabricius"	" 1775	13	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Odonata	789	Libellulidae	5936	Erythemis	1429323	Erythemis vesiculosa	1429338	LC"						
"2303918	Marginella Lamarck"	" 1799	2303918	Marginella Lamarck"	" 1799	2	GENUS	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Neogastropoda	982	Marginellidae	2689	Marginella	2303918			NE"						
"2380549	Lipogramma trilineatum Randall"	" 1963	2380550	Lipogramma trilineata Randall"	" 1963	1	SPECIES	SYNONYM	Animalia	1	Chordata	44	Actinopterygii	204	Perciformes	587	Grammatidae	4275	Lipogramma	2380545	Lipogramma trilineata	2380550	LC"						
"2481776	Arenaria interpres (Linnaeus"	" 1758)	2481776	Arenaria interpres (Linnaeus"	" 1758)	1713	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Arenaria	2481774	Arenaria interpres	2481776	LC"						
"2643492	Avrainvillea nigricans Decne.	2643492	Avrainvillea nigricans Decne.	4	SPECIES	ACCEPTED	Plantae	6	Chlorophyta	36	Ulvophyceae	195	Bryopsidales	625	Dichotomosiphonaceae	4269806	Avrainvillea	9706607	Avrainvillea nigricans	2643492	NE"								
"2958801	Caesalpinia caymanensis Millsp.	3932361	Guilandina caymanensis (Millsp.) Britton & Rose	2	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Guilandina	6376699	Guilandina caymanensis	3932361	NE"								
"5230852	Passerina ciris (Linnaeus"	" 1758)	5230852	Passerina ciris (Linnaeus"	" 1758)	14	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Cardinalidae	9285	Passerina	2490326	Passerina ciris	5230852	LC"						
"5276162	Jania adhaerens J.V.Lamour.	5276162	Jania adhaerens J.V.Lamour.	1	SPECIES	ACCEPTED	Plantae	6	Rhodophyta	106	Florideophyceae	342	Corallinales	670	Corallinaceae	4919	Jania	2655124	Jania adhaerens	5276162	NE"								
"6488559	Monoplex pilearis (Linnaeus"	" 1758)	6488559	Monoplex pilearis (Linnaeus"	" 1758)	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Littorinimorpha	7390893	Cymatiidae	3244460	Monoplex	4613642	Monoplex pilearis	6488559	NE"						
"6519919	Doris millegrana Alder & Hancock"	" 1854	6519918	Aporodoris millegrana (Alder & Hancock"	" 1854)	1	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225	Nudibranchia	980	Discodorididae	7041	Aporodoris	4596786	Aporodoris millegrana	6519918	NE"						
"10173112	BOLD:ABZ5150	10173112	BOLD:ABZ5150	1	UNRANKED	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Perciformes	587	Istiophoridae	9670	Makaira	2397866	Makaira nigricans	8098719	"								
"11327144	Caesalpinia pulcherrima subsp. flava Bailey & Rehder	2958715	Caesalpinia pulcherrima (L.) Sw.	1	SUBSPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Caesalpinia	2958443	Caesalpinia pulcherrima	2958715	"								
"7172	Atherinidae	7172	Atherinidae	1	FAMILY	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Atheriniformes	496	Atherinidae	7172					NE"								
"2286970	Strigilla mirabilis (Philippi"	" 1841)	2286970	Strigilla mirabilis (Philippi"	" 1841)	4	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Bivalvia	137	Cardiida	9529005	Tellinidae	3448	Strigilla	2286963	Strigilla mirabilis	2286970	NE"						
"2299634	Oocorys barbouri Clench & Aguayo"	" 1939	4963172	Eucorys barbouri (Clench & Aguayo"	" 1939)	1	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225	Littorinimorpha	7390893	Cassidae	6761	Eucorys	4613495	Eucorys barbouri	4963172	NE"						
"2302920	Morum Röding"	" 1798	2302920	Morum Röding"	" 1798	3	GENUS	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Neogastropoda	982	Harpidae	6775	Morum	2302920			"						
"2395157	Scartella cristata (Linnaeus"	" 1758)	2395157	Scartella cristata (Linnaeus"	" 1758)	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Perciformes	587	Blenniidae	4251	Scartella	2395152	Scartella cristata	2395157	LC"						
"2708229	Fimbristylis spadicea (L.) Vahl	2708229	Fimbristylis spadicea (L.) Vahl	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Fimbristylis	2708034	Fimbristylis spadicea	2708229	NE"								
"5278852	Gracilaria confervoides (Linnaeus) Greville	5278844	Gracilaria gracilis (Stackhouse) Steentoft"	" L.M.Irvine & Farnham	1	SPECIES	SYNONYM	Plantae	6	Rhodophyta	106	Florideophyceae	342	Gracilariales	1401	Gracilariaceae	4944	Gracilaria	2665450	Gracilaria gracilis	5278844	NE"							
"7715868	Mexorchestia carpenteri Wildish & LeCroy"	" 2014	7715868	Mexorchestia carpenteri Wildish & LeCroy"	" 2014	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Amphipoda	1231	Talitridae	4466	Mexorchestia	8300498	Mexorchestia carpenteri	7715868	NE"						
"8179846	Caesalpinia crista L.	8179846	Caesalpinia crista L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Caesalpinia	2958443	Caesalpinia crista	8179846	NE"								
"9598803	Octopus vulgaris Lamarck"	" 1798	9598803	Octopus vulgaris Lamarck"	" 1798	1	SPECIES	DOUBTFUL	Animalia	1	Mollusca	52	Cephalopoda	136	Octopoda	459	Octopodidae	6835	Octopus	2289226	Octopus vulgaris	9598803	NE"						
"9859543	BOLD:AAE6024	9859543	BOLD:AAE6024	1	UNRANKED	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Myctophiformes	1306	Myctophidae	4217	Lampadena	2405905	Lampadena anomala	2405911	"								
"4319	Miridae	4319	Miridae	23	FAMILY	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hemiptera	809	Miridae	4319					NE"								
"2498408	Lophodytes cucullatus (Linnaeus"	" 1758)	2498408	Lophodytes cucullatus (Linnaeus"	" 1758)	4	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Anseriformes	1108	Anatidae	2986	Lophodytes	2498407	Lophodytes cucullatus	2498408	LC"						
"2655552	Lithophyllum Philippi"	" 1837	2655552	Lithophyllum Philippi"	" 1837	2	GENUS	ACCEPTED	Plantae	6	Rhodophyta	106	Florideophyceae	342	Corallinales	670	Corallinaceae	4919	Lithophyllum	2655552			NE"						
"2712534	Scleria lithosperma (L.) Sw.	2712534	Scleria lithosperma (L.) Sw.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Scleria	2712271	Scleria lithosperma	2712534	LC"								
"2889355	Antigonon leptopus Hook. & Arn.	2889355	Antigonon leptopus Hook. & Arn.	4	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Polygonaceae	2416	Antigonon	2889351	Antigonon leptopus	2889355	NE"								
"3191272	Galphimia gracilis Bartl.	3191272	Galphimia gracilis Bartl.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Malpighiaceae	6676	Galphimia	3191269	Galphimia gracilis	3191272	NE"								
"3202083	Cyclicargolithus D.Bukry"	" 1971	3202083	Cyclicargolithus D.Bukry"	" 1971	10	GENUS	ACCEPTED	Chromista	4	Haptophyta	70	Prymnesiophyceae	258	Isochrysidales	1085	Noelaerhabdaceae	2908	Cyclicargolithus	3202083			"						
"4370246	Acanthochites hemphilli Pilsbry"	" 1893	2305918	Acanthochitona hemphilli (Pilsbry"	" 1893)	2	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Polyplacophora	346	Chitonida	8278247	Acanthochitonidae	9103	Acanthochitona	2305881	Acanthochitona hemphilli	2305918	NE"						
"5193013	Vexillum gemmatum (G.B.Sowerby II"	" 1874)	9274207	Atlantilux gemmata (G.B.Sowerby II"	" 1874)	1	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225	Neogastropoda	982	Costellariidae	6778	Atlantilux	8083631	Atlantilux gemmata	9274207	NE"						
"5209736	Doratonotus megalepis Günther"	" 1862	5209736	Doratonotus megalepis Günther"	" 1862	4	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Perciformes	587	Labridae	8535	Doratonotus	2383891	Doratonotus megalepis	5209736	LC"						
"5421116	Tribulus terrestris L.	5421116	Tribulus terrestris L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Zygophyllales	7219293	Zygophyllaceae	2394	Tribulus	3189918	Tribulus terrestris	5421116	LC"								
"5572994	Ruellia simplex Wright	5572994	Ruellia simplex Wright	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Acanthaceae	2393	Ruellia	3171840	Ruellia simplex	5572994	NE"								
"6093357	Setophaga tigrina (J.F.Gmelin"	" 1789)	6093357	Setophaga tigrina (J.F.Gmelin"	" 1789)	1206	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Parulidae	5263	Setophaga	2489984	Setophaga tigrina	6093357	LC"						
"7059930	Sula sula sula	7059930	Sula sula sula	24	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Suliformes	7192775	Sulidae	9351	Sula	2480966	Sula sula	2480972	"								
"7355698	Yuzurua poiteaui var. gemmifera (Harv.) M.J.Wynne	7355698	Yuzurua poiteaui var. gemmifera (Harv.) M.J.Wynne	1	VARIETY	ACCEPTED	Plantae	6	Rhodophyta	106	Florideophyceae	342	Ceramiales	665	Rhodomelaceae	4895	Yuzurua	6452945	Yuzurua poiteaui	6452946	"								
"7617481	Orbicella annularis (Ellis & Solander"	" 1786)	7617481	Orbicella annularis (Ellis & Solander"	" 1786)	52	SPECIES	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Merulinidae	8219	Orbicella	3250181	Orbicella annularis	7617481	NE"						
"7628107	Anamobaea orstedii Krøyer"	" 1856	7628107	Anamobaea orstedii Krøyer"	" 1856	3	SPECIES	ACCEPTED	Animalia	1	Annelida	42	Polychaeta	256	Sabellida	1080	Sabellidae	7084	Anamobaea	2328673	Anamobaea orstedii	7628107	NE"						
"11164167	Opuntia cochenillifera Karst.	11164167	Opuntia cochenillifera Karst.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Cactaceae	2519	Opuntia	3084187	Opuntia cochenillifera	11164167	NE"								
"2117028	Thermocyclops tenuis (Marsh"	" 1910)	2117028	Thermocyclops tenuis (Marsh"	" 1910)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Hexanauplia	9421786	Cyclopoida	687	Cyclopidae	4988	Thermocyclops	2117024	Thermocyclops tenuis	2117028	NE"						
"2401542	Lestrolepis intermedia (Poey"	" 1868)	2401542	Lestrolepis intermedia (Poey"	" 1868)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Aulopiformes	497	Paralepididae	2964	Lestrolepis	2401536	Lestrolepis intermedia	2401542	LC"						
"2403538	Conger triporiceps Kanazawa"	" 1958	2403538	Conger triporiceps Kanazawa"	" 1958	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Actinopterygii	204	Anguilliformes	495	Congridae	2951	Conger	10061929	Conger triporiceps	2403538	LC"						
